edge_id,direction
10663266,sb
-10663266,nb
10663339,sb
-10663339,nb
10663349,sb
-10663349,nb
10663385,sb
-10663385,nb
10663483,sb
-10663483,nb
10663526,sb
-10663526,nb
10663577,wb
-10663577,eb
10706173,nb
-10706173,sb
11129617,nb
-11129617,sb
11129639,nb
-11129639,sb
11129683,eb
-11129683,wb
11129688,sb
-11129688,nb
11129896,wb
-11129896,eb
11130126,sb
-11130126,nb
1139934,eb
-1139934,wb
1140225,sb
-1140225,nb
11714735,sb
-11714735,nb
11714736,sb
-11714736,nb
12220889,eb
-12220889,wb
12601268,nb
-12601268,sb
13497094,wb
-13497094,eb
14015957,nb
-14015957,sb
14015963,nb
-14015963,sb
14037089,nb
-14037089,sb
14063804,nb
-14063804,sb
14067366,nb
-14067366,sb
14067367,nb
-14067367,sb
14067368,nb
-14067368,sb
14067608,wb
-14067608,eb
14067617,wb
-14067617,eb
14067720,wb
-14067720,eb
14067736,wb
-14067736,eb
14067894,nb
-14067894,sb
14067895,nb
-14067895,sb
14067925,wb
-14067925,eb
14067926,wb
-14067926,eb
14068208,sb
-14068208,nb
14068209,sb
-14068209,nb
14068225,sb
-14068225,nb
14068226,sb
-14068226,nb
14068232,nb
-14068232,sb
14068233,nb
-14068233,sb
14068240,sb
-14068240,nb
14068241,sb
-14068241,nb
14068257,sb
-14068257,nb
14068258,sb
-14068258,nb
14068267,wb
-14068267,eb
14068268,wb
-14068268,eb
14068277,sb
-14068277,nb
14068278,sb
-14068278,nb
14068331,sb
-14068331,nb
14068332,sb
-14068332,nb
14068363,wb
-14068363,eb
14068369,nb
-14068369,sb
14068409,wb
-14068409,eb
14068415,wb
-14068415,eb
14068423,wb
-14068423,eb
14068439,sb
-14068439,nb
14068495,sb
-14068495,nb
14068521,nb
-14068521,sb
14069043,sb
-14069043,nb
14071806,sb
-14071806,nb
14072115,nb
-14072115,sb
14072116,nb
-14072116,sb
20028247,wb
-20028247,eb
20039567,sb
-20039567,nb
20039568,sb
-20039568,nb
20039574,nb
-20039574,sb
20039577,sb
-20039577,nb
20039582,nb
-20039582,sb
20039583,nb
-20039583,sb
20039588,eb
-20039588,wb
20039591,nb
-20039591,sb
20039614,eb
-20039614,wb
20039617,sb
-20039617,nb
20039830,sb
-20039830,nb
20039832,nb
-20039832,sb
20039834,sb
-20039834,nb
20042481,sb
-20042481,nb
20042484,sb
-20042484,nb
20042487,nb
-20042487,sb
20042488,nb
-20042488,sb
20042494,eb
-20042494,wb
20042497,nb
-20042497,sb
20042498,nb
-20042498,sb
20042506,sb
-20042506,nb
20062227,nb
-20062227,sb
20062284,nb
-20062284,sb
20062285,nb
-20062285,sb
20062297,sb
-20062297,nb
20062373,sb
-20062373,nb
20091987,nb
-20091987,sb
20091988,nb
-20091988,sb
20091994,eb
-20091994,wb
20141745,sb
-20141745,nb
20141746,sb
-20141746,nb
20231119,nb
-20231119,sb
2302307,nb
-2302307,sb
2302312,nb
-2302312,sb
2302332,nb
-2302332,sb
2302411,nb
-2302411,sb
30011644,nb
-30011644,sb
30011645,nb
-30011645,sb
30011649,eb
-30011649,wb
30017548,nb
-30017548,sb
30017549,nb
-30017549,sb
30017565,sb
-30017565,nb
30017572,nb
-30017572,sb
30022372,sb
-30022372,nb
30025326,sb
-30025326,nb
30066334,nb
-30066334,sb
30066335,nb
-30066335,sb
30075081,sb
-30075081,nb
30078279,sb
-30078279,nb
30093302,sb
-30093302,nb
30093305,sb
-30093305,nb
30093306,sb
-30093306,nb
30093308,nb
-30093308,sb
30093309,nb
-30093309,sb
30093313,eb
-30093313,wb
30093315,nb
-30093315,sb
30093316,nb
-30093316,sb
30093318,eb
-30093318,wb
30093320,eb
-30093320,wb
30093321,nb
-30093321,sb
30093323,eb
-30093323,wb
30093324,nb
-30093324,sb
30093326,nb
-30093326,sb
30093332,nb
-30093332,sb
30093333,wb
-30093333,eb
30093335,eb
-30093335,wb
30093342,nb
-30093342,sb
30093356,sb
-30093356,nb
30093358,nb
-30093358,sb
30096306,nb
-30096306,sb
30096307,nb
-30096307,sb
30096315,eb
-30096315,wb
30096317,eb
-30096317,wb
30096325,nb
-30096325,sb
30096326,nb
-30096326,sb
30096327,eb
-30096327,wb
30096354,nb
-30096354,sb
30096355,nb
-30096355,sb
30096356,wb
-30096356,eb
30096357,wb
-30096357,eb
30105185,nb
-30105185,sb
30105203,wb
-30105203,eb
30105207,wb
-30105207,eb
30105211,nb
-30105211,sb
30105214,sb
-30105214,nb
30105849,wb
-30105849,eb
30105850,wb
-30105850,eb
30105852,nb
-30105852,sb
30105853,nb
-30105853,sb
30105857,nb
-30105857,sb
30105858,eb
-30105858,wb
30105859,nb
-30105859,sb
30106844,wb
-30106844,eb
30106845,wb
-30106845,eb
30106850,eb
-30106850,wb
30106851,eb
-30106851,wb
30106852,nb
-30106852,sb
30118219,sb
-30118219,nb
30118220,sb
-30118220,nb
30118222,sb
-30118222,nb
30118224,sb
-30118224,nb
30118226,sb
-30118226,nb
30118227,eb
-30118227,wb
30119927,nb
-30119927,sb
30119928,nb
-30119928,sb
30119930,sb
-30119930,nb
